mood,zone,valence,energy,tempo,mode,acousticness,danceability,instrumentalness,speechiness,seed_genres
joyful,positive,0.92,0.76,124,major,0.12,0.72,0.05,0.06,"pop;happy;dance pop"
excited,positive,0.84,0.91,138,major,0.06,0.68,0.04,0.08,"edm;electro;pop"
euphoric,positive,0.88,0.94,142,major,0.04,0.65,0.10,0.05,"trance;big-room;progressive-house"
hopeful,positive,0.70,0.54,108,major,0.38,0.60,0.10,0.05,"indie-pop;folk;acoustic-pop"
empowered,positive,0.78,0.88,132,major,0.08,0.66,0.05,0.12,"hip-hop;power-pop;rock"
playful,positive,0.86,0.70,118,major,0.18,0.78,0.06,0.06,"funk;pop;indie-pop"
content,calm,0.80,0.36,94,major,0.52,0.58,0.15,0.04,"indie-folk;acoustic;singer-songwriter"
serene,calm,0.74,0.22,78,major,0.74,0.42,0.40,0.03,"ambient;new-age;classical"
romantic,calm,0.72,0.40,88,major,0.48,0.56,0.12,0.04,"soul;r-n-b;jazz"
melancholy,negative,0.28,0.30,76,minor,0.65,0.40,0.15,0.04,"sad;indie;singer-songwriter"
sad,negative,0.18,0.22,68,minor,0.70,0.34,0.18,0.04,"sad;emo;acoustic"
grief,negative,0.12,0.18,60,minor,0.80,0.28,0.25,0.03,"classical;sad;piano"
anxious,negative,0.28,0.82,136,minor,0.10,0.45,0.05,0.12,"dark-techno;industrial;metal"
angry,negative,0.14,0.90,148,minor,0.05,0.42,0.04,0.10,"metal;punk;hardcore"
stressed,negative,0.24,0.72,126,minor,0.14,0.48,0.06,0.10,"dark-pop;alternative;post-punk"
bored,negative,0.36,0.20,82,minor,0.50,0.44,0.20,0.04,"lo-fi;chillhop;minimal-techno"
lonely,negative,0.20,0.26,72,minor,0.68,0.36,0.18,0.04,"sad;indie;ambient"
nostalgic,complex,0.52,0.32,84,minor,0.60,0.48,0.20,0.04,"indie;lo-fi;chillwave"
focused,complex,0.54,0.58,112,major,0.22,0.55,0.50,0.04,"instrumental;study;electronic"
tired,complex,0.38,0.14,64,minor,0.72,0.36,0.35,0.03,"sleep;ambient;lo-fi"
dreamy,complex,0.62,0.28,80,major,0.55,0.50,0.30,0.04,"dream-pop;shoegaze;chillwave"
pensive,complex,0.42,0.34,82,minor,0.58,0.42,0.25,0.04,"indie;post-rock;classical"
